starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	8
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	10
Fri Nov 29 19:02:02 2024	1732878122	0	29	29	4
Fri Nov 29 19:02:05 2024	1732878125	0	29	29	8
Fri Nov 29 19:02:02 2024	1732878122	0	29	29	9
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	4
Fri Nov 29 19:02:05 2024	1732878125	0	29	29	4
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	10
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	7
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	7
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	4
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	6
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	4
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	4
Fri Nov 29 19:02:03 2024	1732878123	0	29	29	9
Fri Nov 29 19:02:03 2024	1732878123	0	29	29	9
Fri Nov 29 19:02:06 2024	1732878126	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	3
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	5
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	5
Fri Nov 29 19:02:05 2024	1732878125	0	29	29	4
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	9
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	10
Fri Nov 29 19:02:02 2024	1732878122	0	29	29	9
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	9
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	7
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	8
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	5
Fri Nov 29 19:02:06 2024	1732878126	0	29	29	6
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	4
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	8
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	5
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	10
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	10
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	3
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	9
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	9
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	8
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	9
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	6
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	4
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	5
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	8
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	6
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	7
Fri Nov 29 19:01:58 2024	1732878118	0	29	29	8
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	6
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	4
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	9
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	9
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	6
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	7
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	7
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	5
Fri Nov 29 19:01:57 2024	1732878117	1	28	29	6
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	6
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	10
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	3
Fri Nov 29 19:01:58 2024	1732878118	0	29	29	3
Fri Nov 29 19:02:03 2024	1732878123	0	29	29	6
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	9
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	5
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	6
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	3
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	3
Fri Nov 29 19:01:56 2024	1732878116	0	29	29	5
Fri Nov 29 19:02:02 2024	1732878122	0	29	29	8
Fri Nov 29 19:01:58 2024	1732878118	0	29	29	4
Fri Nov 29 19:02:03 2024	1732878123	0	29	29	6
Fri Nov 29 19:02:03 2024	1732878123	0	29	29	7
Fri Nov 29 19:02:03 2024	1732878123	0	29	29	5
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	9
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	9
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	5
Fri Nov 29 19:02:01 2024	1732878121	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	4
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	4
Fri Nov 29 19:02:05 2024	1732878125	0	29	29	6
Fri Nov 29 19:02:00 2024	1732878120	0	29	29	5
Fri Nov 29 19:02:02 2024	1732878122	0	29	29	4
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	10
Fri Nov 29 19:01:59 2024	1732878119	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	5
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	4
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	6
Fri Nov 29 19:01:57 2024	1732878117	1	28	29	6
Fri Nov 29 19:01:57 2024	1732878117	0	29	29	10
Fri Nov 29 19:02:02 2024	1732878122	0	29	29	7
Fri Nov 29 19:02:04 2024	1732878124	0	29	29	8
